restaurant_id,restaurant_name,raw_menu_item_name,raw_price,raw_category,source_url,source_file,collected_at,notes,price_sgd,price_note,description,address,postal_code,latitude,longitude,restaurant_rating,rating_count,cuisine
T003,Udon Don Bar (Create Way),Kakiage Don.,from S$ 11.30,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,11.30,starting_price,Vegetable fritter with homemade sauce and sous vide egg on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Shiromi Mentai Don.,from S$ 12.50,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,White fish with mentai and ebiko on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Shiromi Salted Egg Don.,from S$ 12.50,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,Salted egg white fish on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Shiromi Nanban Don.,from S$ 12.50,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,White fish with spicy nanban tartar on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Shiromi Black Pepper Don.,from S$ 12.50,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,12.50,starting_price,Black pepper white fish on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Salmon Mentai Don.,from S$ 16.10,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,16.10,starting_price,Salmon with mentai and ebiko on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Salmon Teriyaki Don.,from S$ 16.10,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,16.10,starting_price,Teriyaki salmon on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Curry Don.,from S$ 10.10,Curry Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,10.10,starting_price,Curry gravy on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Beef Curry Don.,from S$ 13.70,Curry Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,13.70,starting_price,Beef slices and curry gravy on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
T003,Udon Don Bar (Create Way),Chicken Katsu Curry Don.,from S$ 13.70,Curry Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot; delivery address not confirmed,13.70,starting_price,Chicken katsu and curry gravy on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes
