restaurant_id,restaurant_name,raw_menu_item_name,raw_price,raw_category,source_url,source_file,collected_at,notes,price_sgd,price_note,description,address,postal_code,latitude,longitude,restaurant_rating,rating_count,cuisine,target_id,branch_match_status,actual_restaurant_name,actual_address
T003,Udon Don Bar (Create Way),Kakiage,S$ 6.50,Tempura,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,6.5,fixed,Vegetable fritters,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Luncheon and Sweet Potato Tempura,S$ 6.50,Tempura,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,6.5,fixed,Spam and Japanese sweet potato tempura,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Ebi Tempura,S$ 7.60,Tempura,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,7.6,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Tempura Moriwase,S$ 10,Tempura,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,10.0,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Mozarella Cheese Sticks,S$ 7.20,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,7.2,fixed,Breaded mozzarella cheese sticks,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Crispy Chicken with Mentai Mayo,S$ 8.80,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,8.8,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Fries with Mentai Mayo,S$ 7.60,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,7.6,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Bacon Wrap Sausages,S$ 7.60,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,7.6,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Fried Gyoza with Aburi Mentai Mayo,S$ 7.20,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,7.2,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Edamame,S$ 7.60,Deep Fried & Side Dish,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,7.6,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Miso Soup,S$ 2.80,Ala Carte,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,2.8,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Chawanmushi,S$ 3,Ala Carte,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,3.0,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Fruit Punch,S$ 1.80,Drinks,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,1.8,fixed,Fruit punch cordial drink,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Coke,S$ 2,Drinks,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,2.0,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Ice Green Tea,S$ 2,Drinks,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,2.0,fixed,,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
