"restaurant_id","restaurant_name","address","nea_grade","demerit_points","source_type","menu_source_url","menu_file","menu_status","notes"
"R076","TAN BEE BEE","100 NORTH BUONA VISTA ROAD #01-05/07 BUONA VISTA MRT STATION SINGAPORE 139345","B","na","manual_or_html","","","to_find",""
"R077","TEN & HAN TRADING PTE LTD","100 NORTH BUONA VISTA ROAD #01-08 BUONA VISTA MRT STATION SINGAPORE 139345","A","na","manual_or_html","","","to_find",""
"R078","UNCLE HO PTE. LTD","100 PASIR PANJANG ROAD #01-04 (100 PASIR PANJANG) SINGAPORE 118518","A","na","manual_or_html","","","to_find",""
"R079","FONG SENG FAST FOOD PTE LTD","101 PASIR PANJANG ROAD SINGAPORE 118527","B","na","manual_or_html","","","to_find",""
"R080","TAN CHOON HUAT","103 PASIR PANJANG ROAD SINGAPORE 118531","A","na","manual_or_html","","","to_find",""
"R081","WU WEN SUN","105 CLEMENTI STREET 12 #01-16 SINGAPORE 120105","A","na","manual_or_html","","","to_find",""
"R082","CHIN HUAT LIVE SEAFOOD PTE LTD","105 CLEMENTI STREET 12 #01-30 SINGAPORE 120105","A","na","manual_or_html","","","to_find",""
"R083","CHIN SIOW PENG","106 CLEMENTI STREET 12 #01-40/42 SINGAPORE 120106","A","na","manual_or_html","","","to_find",""
"R084","NG BEE LANG","106 CLEMENTI STREET 12 #01-44 SINGAPORE 120106","A","na","manual_or_html","","","to_find",""
"R085","HAPPY MOOKATA 2 PTE. LTD.","106 CLEMENTI STREET 12 #01-46 SINGAPORE 120106","A","na","manual_or_html","","","to_find",""
"R086","THE ROYAL MAIL PTE. LTD.","106 CLEMENTI STREET 12 #01-50 SINGAPORE 120106","A","na","manual_or_html","","","to_find",""
"R087","BUTTERCAKENCREAM LIMITED LIABILITY PARTNERSHIP","106 CLEMENTI STREET 12 #01-52 SINGAPORE 120106","A","na","manual_or_html","","","to_find",""
"R088","THE CATCH SEAFOOD RESTAURANT & BAR PTE. LTD.","106 CLEMENTI STREET 12 #01-54 SINGAPORE 120106","A","na","manual_or_html","","","to_find",""
"R089","CHAN PEIYI, TIFFANY JOY","106 CLEMENTI STREET 12 #01-62 SINGAPORE 120106","A","na","manual_or_html","","","to_find",""
"R090","H.I.M. HOLDINGS PTE LTD","106 CLEMENTI STREET 12 #01-64 SINGAPORE 120106","A","na","manual_or_html","","","to_find",""
"R091","CHANG CHENG FOOD PARADISE PTE. LTD.","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","manual_or_html","","","to_find",""
"R092","CU MR FOOD STATION PTE. LTD.","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","manual_or_html","","","to_find",""
"R093","CU MR FOOD STATION PTE. LTD.","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","manual_or_html","","","to_find",""
"R094","CU MR FOOD STATION PTE. LTD.","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","4","manual_or_html","","","to_find",""
